Conut - Tyre,,,,,,,,,
Tax Report,,,,,,,,,
30-Jan-26,,,,,,,,Page 1 of, 1
,Year: 2025 - All Months,,,,,,,,
TAX DESCRIPTION,VAT 11 %,Tax 2,Tax 3,Tax 4,Tax 5,,Service,Total,
Branch Name:  Conut,,,,,,,,,
Total By Branch,"427,048,534.35",0.00,0.00,0.00,,0.00,0.00,"427,048,534.35",
Branch Name:  Conut - Tyre,,,,,,,,,
Total By Branch,"563,134,562.83",0.00,0.00,0.00,,0.00,0.00,"563,134,562.83",
Branch Name:  Conut Jnah,,,,,,,,,
Total By Branch,"623,597,658.93",0.00,0.00,0.00,,0.00,0.00,"623,597,658.93",
Branch Name:  Main Street Coffee,,,,,,,,,
Total By Branch,"579,893,871.34",0.00,0.00,0.00,,0.00,0.00,"579,893,871.34",
REP_S_00194,"Copyright © 2026 Omega Software, Inc. All Rights Reserved.",,,,,,,"""www.omegapos.com""",
