Conut - Tyre,,,,
Sales by Items By Group,,,,
30-Jan-26,Years:2025 Months:0,,Page 1 of, 45
Description,Barcode,Qty,Total Amount,
Branch: Conut - Tyre,,,,
Division: Hot-Coffee Based,,,,
Group: Hot-Coffee Based,,,,
AMERICAN COFFEE,,8.0,"2,860,540.50",
CAPPUCCINO,,1.0,"417,162.16",
CAFFE LATTE,,47.0,"19,606,621.36",
CAFE MOCHA,,5.0,"2,536,081.12",
CARAMEL MACHIATO,,7.0,"3,754,459.41",
CAFFE AMERICANO,,4.0,"953,513.50",
SINGLE ESPRESSO,,29.0,"6,912,972.88",
DOUBLE ESPRESSO,,55.0,"18,063,783.51",
ESPRESSO MACCHIATO,,1.0,"328,432.43",
WHITE MOCHA,,6.0,"3,043,297.34",
FLAT WHITE,,1.0,"388,027.02",
HOT CHOCOLATE COMBO,,20.0,"13,243,243.23",
Total by Group: Hot-Coffee Based,,184.0,"72,108,134.45",
Group: Free Dressing,,,,
[CARAMEL DRESSING],,69.0,0.00,
[CHOCOLATE DRESSING],,34.0,0.00,
[NO DRESSING],,57.0,0.00,
[STRAWBERRY DRESSING],,5.0,0.00,
[SALTED CARAMEL DRESSING],,1.0,0.00,
Total by Group: Free Dressing,,166.0,0.00,
Group: Free Whipped Cream,,,,
WHIPPED CREAM...,,73.0,0.00,
NO WHIPPED CREAM,,107.0,0.00,
Total by Group: Free Whipped Cream,,180.0,0.00,
Group: CHIMNEY CAKE OPTIONS,,,,
PRESSED,,292.0,0.00,
REGULAR,,9.0,0.00,
Total by Group: CHIMNEY CAKE OPTIONS,,301.0,0.00,
Group: OPTIONS ICE CREAM,,,,
ICE CREAM ON TOP,,128.0,0.00,
ICE CREAM ON THE SIDE,,195.0,0.00,
Total by Group: OPTIONS ICE CREAM,,323.0,0.00,
30-Jan-26,Years:2025 Months:0,,Page 2 of, 45
Description,Barcode,Qty,Total Amount,
Total by Division: Hot-Coffee Based,,1154.0,"72,108,134.45",
Division: Bev Add-ons,,,,
Group: Bev Add-ons,,,,
"CARAMEL  SAUCE,",,2.0,"180,108.10",
VANILLA SYRUP,,3.0,"270,162.16",
Total by Group: Bev Add-ons,,5.0,"450,270.26",
Total by Division: Bev Add-ons,,5.0,"450,270.26",
Division: Frappes,,,,
Group: Frappes,,,,
MOCHA FRAPPE,,14.0,"7,508,918.82",
CARAMEL MOCHA FRAPPE,,10.0,"5,363,513.44",
HAZELNUT MOCHA FRAPPE,,3.0,"1,609,054.03",
CARAMEL FRAPPE,,51.0,"27,353,918.55",
VANILLA FRAPPE,,2.0,"1,072,702.69",
WHITE MOCHA FRAPPE,,5.0,"2,681,756.72",
HAZELNUT FRAPPE,,2.0,"1,072,702.69",
MATCHA FRAPPE,,3.0,"1,879,216.23",
SALTED CARAMEL FRAPPE,,2.0,"1,072,702.69",
ESPRESSO FRAPPE,,5.0,"2,238,108.08",
TOFFEE NUT FRAPPE,,6.0,"3,218,108.07",
Total by Group: Frappes,,103.0,"55,070,702.01",
Total by Division: Frappes,,103.0,"55,070,702.01",
Division: Shakes,,,,
Group: Shakes,,,,
VANILLA MILKSHAKE,,18.0,"9,654,324.20",
OREO MILKSHAKE,,28.0,"20,023,783.93",
STRAWBERRY MILKSHAKE,,12.0,"8,581,621.68",
MATCHA MILKSHAKE,,2.0,"1,787,837.84",
SALTED CARAMEL MILKSHAKE,,4.0,"3,098,918.94",
PISTACHIO MILKSHAKE,,8.0,"7,151,351.37",
GRANOLA BERRIES MILKSHAKE,,1.0,"774,729.73",
DOUBLE CHOCOLATE MILKSHAKE,,2.0,"1,549,459.47",
FRUIT LOOPS MILKSHAKE,,1.0,"774,729.73",
TOFFEE NUT MILKSHAKE,,1.0,"774,729.73",
Total by Group: Shakes,,77.0,"54,171,486.63",
Total by Division: Shakes,,77.0,"54,171,486.63",
Division: Hot and Cold Drinks,,,,
30-Jan-26,Years:2025 Months:0,,Page 3 of, 45
Description,Barcode,Qty,Total Amount,
Group: Hot and Cold Drinks,,,,
WATER,,473.0,"37,584,321.76",
BALKIS LEMONADE,,1.0,"238,378.38",
MANGO PASSION,,10.0,"4,171,621.57",
MELON PASSION,,3.0,"1,251,486.47",
WILD BERRIES,,3.0,"1,251,486.47",
WILD BERRIES PASSION,,3.0,"1,251,486.47",
Total by Group: Hot and Cold Drinks,,493.0,"45,748,781.11",
Group: TEA FLAVORS,,,,
PEACH ICED TEA,,29.0,"12,097,702.54",
RASPBERRY ICED TEA,,10.0,"4,171,621.57",
Total by Group: TEA FLAVORS,,39.0,"16,269,324.11",
Total by Division: Hot and Cold Drinks,,532.0,"62,018,105.21",
Division: Conuts,,,,
Group: Conuts,,,,
NO CINNAMON,,9.0,0.00,
Total by Group: Conuts,,9.0,0.00,
Total by Division: Conuts,,9.0,0.00,
Division: Extras and Sides,,,,
Group: Extras and Sides,,,,
ADD ICE CREAM,,183.0,"87,246,485.32",
Total by Group: Extras and Sides,,183.0,"87,246,485.32",
Total by Division: Extras and Sides,,183.0,"87,246,485.32",
Division: Delivery Service,,,,
Group: Delivery,,,,
DELIVERY CHARGE,,83.0,"19,785,405.14",
SEND CUTLERY,,2.0,0.00,
DONT SEND CUTLERY,,3.0,0.00,
TAKE AWAY,,20.0,0.00,
Total by Group: Delivery,,108.0,"19,785,405.14",
Total by Division: Delivery Service,,108.0,"19,785,405.14",
Division: Free Conut Spreads,,,,
Group: Free Conut Spreads,,,,
NUTELLA SPREAD CONUT.,,1271.0,0.00,
