Conut - Tyre,,,,
Average Sales By Menu,,,,
,Year: 2025 - All Months,,Page 1 of, 1
30-Jan-26,,,,
Menu Name,# Cust,Sales,Avg Customer,
Conut - Tyre,,,,
DELIVERY,79.00,196978675.52,2493400.96,
TAKE AWAY,3038.00,4921979478.71,1620138.08,
Total By Branch:,3117.00,5118958154.23,1642270.83,
Conut,,,,
DELIVERY,6.00,9745702.70,1624283.79,
TABLE,2609.00,3679878143.15,1410455.40,
TAKE AWAY,129.00,192635553.80,1493298.87,
Total By Branch:,2744.00,3882259399.65,1414817.57,
Conut Jnah,,,,
TABLE,5045.00,5669069616.74,1123700.62,
Total By Branch:,5045.00,5669069616.74,1123700.62,
Main Street Coffee,,,,
TABLE,3640.00,5271762462.21,1448286.39,
Total By Branch:,3640.00,5271762462.21,1448286.39,
Total :,14546.00,19942049632.83,1370964.50,
REP_S_00435,"Copyright © 2026 Omega Software, Inc. All Rights ",,www.omegapos.com,
