report_date,context,section,item,delivery,table,take_away,total
30-Jan-26,,Person_0421,"[k,fd 1",,,,5424300.0
30-Jan-26,,Person_0662,Person_0662,,,,2116800.0
30-Jan-26,,Person_0663,Person_0663,,,,3836700.0
30-Jan-26,,Person_0664,Person_0664,,,,1256850.0
30-Jan-26,,Person_0665,Person_0665,,,,2282910.0
30-Jan-26,,Person_0666,Person_0666,,,,0.0
30-Jan-26,,Person_0667,Person_0667,,,,1653750.0
30-Jan-26,,Person_0668,Person_0668,,,,3638250.0
30-Jan-26,,Person_0669,Person_0669,,,,4762799.9
30-Jan-26,,Person_0670,Person_0670,,,,4630500.0
30-Jan-26,,Person_0671,Person_0671,,,,0.0
30-Jan-26,,Person_0672,Person_0672,,,,1323000.0
30-Jan-26,,Person_0673,Person_0673,,,,3638249.9
30-Jan-26,,Person_0674,Person_0674,,,,4498199.9
30-Jan-26,,Person_0675,Person_0675,,,,3375120.0
30-Jan-26,,Person_0676,Person_0676,,,,1786050.0
30-Jan-26,,Person_0677,Person_0677,,,,6085799.9
30-Jan-26,,Person_0678,Person_0678,,,,3109049.9
30-Jan-26,,Person_0679,Person_0679,,,,1719900.0
30-Jan-26,,Person_0680,Person_0680,,,,5424300.0
30-Jan-26,,Person_0681,Person_0681,,,,1653750.0
30-Jan-26,,Person_0682,Person_0682,,,,3572100.0
30-Jan-26,,Person_0683,Person_0683,,,,1719900.0
30-Jan-26,,Person_0684,Person_0684,,,,7739550.0
30-Jan-26,,Person_0685,Person_0685,,,,3539759.9
30-Jan-26,,Person_0686,Person_0686,,,,1587600.0
30-Jan-26,,Person_0687,Person_0687,,,,1653750.0
30-Jan-26,,Person_0688,Person_0688,,,,1786050.0
30-Jan-26,,Person_0689,Person_0689,,,,5194980.0
30-Jan-26,,Person_0690,Person_0690,,,,1522920.0
30-Jan-26,,Person_0691,Person_0691,,,,1389150.0
30-Jan-26,,Person_0692,Person_0692,,,,4399710.0
30-Jan-26,,Person_0693,Person_0693,,,,0.0
30-Jan-26,,Person_0694,Person_0694,,,,1653750.0
30-Jan-26,,Person_0695,Person_0695,,,,3109049.9
30-Jan-26,,Person_0696,Person_0696,,,,2116800.0
30-Jan-26,,Person_0697,Person_0697,,,,2116800.0
30-Jan-26,,Person_0698,Person_0698,,,,2513700.0
30-Jan-26,,Person_0699,Person_0699,,,,2447549.9
30-Jan-26,,Person_0700,Person_0700,,,,2249099.9
30-Jan-26,,Person_0701,Person_0701,,,,1389150.0
30-Jan-26,,Person_0702,Person_0702,,,,3042900.0
30-Jan-26,,Person_0703,Person_0703,,,,1390620.01
30-Jan-26,,Person_0704,Person_0704,,,,2381400.0
30-Jan-26,,Person_0705,Person_0705,,,,2547510.0
30-Jan-26,,Person_0706,Person_0706,,,,2315250.0
30-Jan-26,,Person_0707,Person_0707,,,,1587600.0
30-Jan-26,,Person_0708,Person_0708,,,,3373649.9
30-Jan-26,,Person_0709,Person_0709,,,,2282910.0
30-Jan-26,,Person_0710,Person_0710,,,,2249100.0
30-Jan-26,,Person_0711,Person_0711,,,,1587600.0
30-Jan-26,,Person_0712,Person_0712,,,,1852199.9
30-Jan-26,,Person_0713,Person_0713,,,,3836700.0
30-Jan-26,,Person_0714,Person_0714,,,,4035149.9
30-Jan-26,,Person_0715,Person_0715,,,,3307499.9
30-Jan-26,,Person_0716,Person_0716,,,,1918349.9
30-Jan-26,,Person_0717,Person_0717,,,,2910600.0
30-Jan-26,,Person_0718,Person_0718,,,,3275160.0
30-Jan-26,,Person_0719,Person_0719,,,,1852199.9
30-Jan-26,,Person_0720,Person_0720,,,,4564350.0
30-Jan-26,,Person_0721,Person_0721,,,,1984500.0
30-Jan-26,,Person_0722,Person_0722,,,,859949.99
30-Jan-26,,Person_0723,Person_0723,,,,1653750.0
30-Jan-26,,Person_0724,Person_0724,,,,1124550.0
30-Jan-26,,Person_0725,Person_0725,,,,4498200.0
30-Jan-26,,Person_0726,Person_0726,,,,4630500.0
30-Jan-26,,Person_0727,Person_0727,,,,2712150.0
30-Jan-26,,Person_0728,Person_0728,,,,3969000.0
30-Jan-26,,Person_0729,Person_0729,,,,2316720.0
30-Jan-26,,Person_0730,Person_0730,,,,2116800.0
30-Jan-26,,Person_0731,Person_0731,,,,0.0
30-Jan-26,,Person_0732,Person_0732,,,,1786050.0
30-Jan-26,,Person_0733,Person_0733,,,,2613660.0
30-Jan-26,,Person_0734,Person_0734,,,,2019780.0
30-Jan-26,,Person_0735,Person_0735,,,,1984499.9
30-Jan-26,,Person_0736,Person_0736,,,,2315250.0
30-Jan-26,,Person_0737,Person_0737,,,,3109049.9
30-Jan-26,,Person_0738,Person_0738,,,,2712150.0
30-Jan-26,,Person_0739,Person_0739,,,,3307499.9
30-Jan-26,,Person_0740,Person_0740,,,,1819860.0
30-Jan-26,,Person_0741,Person_0741,,,,5493390.0
30-Jan-26,,Person_0742,Person_0742,,,,1224510.0
30-Jan-26,,Person_0743,Person_0743,,,,4630500.0
30-Jan-26,,Person_0744,Person_0744,,,,959910.0
30-Jan-26,,Person_0745,Person_0745,,,,1653750.0
30-Jan-26,,Person_0746,Person_0746,,,,3936660.0
30-Jan-26,,Person_0747,Person_0747,,,,4828950.0
30-Jan-26,,Person_0748,Person_0748,,,,4564349.9
30-Jan-26,,Person_0749,Person_0749,,,,2579850.0
30-Jan-26,,Person_0750,Person_0750,,,,0.0
30-Jan-26,,Person_0751,Person_0751,,,,1653750.0
30-Jan-26,,Person_0752,Person_0752,,,,2579850.0
30-Jan-26,,Person_0753,Person_0753,,,,2018310.0
30-Jan-26,,Person_0754,Person_0754,,,,0.0
30-Jan-26,,Person_0754,Person_0754,,,,1521450.0
30-Jan-26,,Person_0755,Person_0755,,,,2381400.0
30-Jan-26,,Person_0756,Person_0756,,,,1124550.0
30-Jan-26,,Person_0757,Person_0757,,,,3307499.9
