report_date,context,branch,division,group,description,barcode,qty,total_amount
30-Jan-26,Years:2025 Months:0,Conut,Bev Add-ons,Bev Add-ons,"CARAMEL SAUCE,",,4.0,360216.21
30-Jan-26,Years:2025 Months:0,Conut,Bev Add-ons,Bev Add-ons,EXTRA ESPRESSO SHOT,,1.0,90054.05
30-Jan-26,Years:2025 Months:0,Conut,Bev Add-ons,Bev Add-ons,VANILLA SYRUP,,3.0,270162.16
30-Jan-26,Years:2025 Months:0,Conut,Bev Add-ons,Bev Add-ons,WHIPPED CREAM,,4.0,476756.75
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,BLUEBERRIES.,,25.0,5959459.38
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,BROWNIES.,,28.0,5005945.88
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CARAMEL SAUCE.,,6.0,1072702.69
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CRISPY CREPE.,,2.0,357567.56
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CRUSHED LOTUS.,,23.0,4112026.97
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CRUSHED OREO.,,38.0,6793783.69
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,DARK CHOCOLATE CHIPS.,,3.0,715135.13
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,DARK CHOCOLATE SAUCE.,,3.0,536351.34
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,FRUIT LOOPS.,,1.0,178783.78
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,GRANOLA BERRIES.,,4.0,953513.5
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,GUMMY BEARS.,,7.0,1251486.47
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,LOTUS SAUCE.,,16.0,2860540.5
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,MARSHMALLOWS.,,8.0,1430270.25
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,NUTELLA SAUCE.,,67.0,11978513.35
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,PEANUT BUTTER CUPS.,,1.0,238378.38
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,PISTACHIO SAUCE.,,6.0,1430270.25
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,RASPBERRIES.,,21.0,5005945.88
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,RASPBERRY JAM.,,2.0,476756.75
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,SALTED CARAMEL SAUCE.,,2.0,357567.56
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,SALTED PRETZELS.,,2.0,357567.56
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,SPRINKLES.,,6.0,1072702.69
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,STRAWBERRY.,,128.0,22884324.02
30-Jan-26,Years:2025 Months:0,Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,WHIPPED CREAM.,,9.0,2145405.38
30-Jan-26,Years:2025 Months:0,Conut,CONUT''S FAVORITE,CONUT''S FAVORITE,HOT CHOCOLATE,,6.0,2860540.5
30-Jan-26,Years:2025 Months:0,Conut,CONUT''S FAVORITE,CONUT''S FAVORITE,ICED SHAKEN ESPRESSO,,3.0,1521648.67
30-Jan-26,Years:2025 Months:0,Conut,CONUT''S FAVORITE,CONUT''S FAVORITE,MATCHA LATTE,,1.0,595945.95
30-Jan-26,Years:2025 Months:0,Conut,Conuts,Conuts,NO CINNAMON,,11.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,DRINK TYPE,DRINK TYPE,HOT,,54.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,DRINK TYPE,DRINK TYPE,ICED,,40.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,Delivery Service,Delivery,DELIVERY CHARGE,,216.0,51489729.04
30-Jan-26,Years:2025 Months:0,Conut,Delivery Service,Delivery,SEND CUTLERY,,3.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,Delivery Service,Delivery,TAKE AWAY,,216.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,LOTUS SPREAD CHIMNEY,,32.0,5721081.0
30-Jan-26,Years:2025 Months:0,Conut,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,"NO SPREAD,,",,164.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,NUTELLA SPREAD CHIMNEY,,23.0,4112026.97
30-Jan-26,Years:2025 Months:0,Conut,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,PISTACHIO SPREAD CHIMNEY,,3.0,715135.13
30-Jan-26,Years:2025 Months:0,Conut,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,WHITE CHOCOLATE SPREAD CHIMNEY,,13.0,2324189.16
30-Jan-26,Years:2025 Months:0,Conut,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,LOTUS SPREAD CONUT,,7.0,630378.37
30-Jan-26,Years:2025 Months:0,Conut,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,NO SPREAD..,,170.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,NUTELLA SPREAD CONUT,,22.0,1981189.15
30-Jan-26,Years:2025 Months:0,Conut,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,PISTACHIO SPREAD CONUT,,1.0,119189.19
30-Jan-26,Years:2025 Months:0,Conut,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,WHITE CHOCOLATE SPREAD CONUT,,4.0,360216.21
30-Jan-26,Years:2025 Months:0,Conut,EXTRA DIP,EXTRA DIP,CARAMEL DIP (R),,2.0,238378.38
30-Jan-26,Years:2025 Months:0,Conut,EXTRA DIP,EXTRA DIP,CHERRY JAM DIP (P),,1.0,238378.38
30-Jan-26,Years:2025 Months:0,Conut,EXTRA DIP,EXTRA DIP,LOTUS DIP (R),,1.0,119189.19
30-Jan-26,Years:2025 Months:0,Conut,EXTRA DIP,EXTRA DIP,NUTELLA DIP (R),,3.0,357567.56
30-Jan-26,Years:2025 Months:0,Conut,EXTRA DIP,EXTRA DIP,PASSION FRUIT DIP (P),,1.0,238378.38
30-Jan-26,Years:2025 Months:0,Conut,EXTRA DIP,EXTRA DIP,PISTACHIO DIP (P),,3.0,715135.13
30-Jan-26,Years:2025 Months:0,Conut,EXTRA MINI SPREAD,EXTRA MINI SPREAD,"NO SPREAD,.",,35.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,EXTRA MINI SPREAD,EXTRA MINI SPREAD,NUTELLA SPREAD MINI,,1.0,59594.59
30-Jan-26,Years:2025 Months:0,Conut,Extras and Sides,Extras and Sides,ADD ICE CREAM,,324.0,154469187.13
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"BLUEBERRIES , (P)",,34.0,2026216.19
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,BROWNIES . (R),,360.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"CARAMEL SAUCE, (R)",,463.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"CHERRY JAM ,(P)",,0.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"CRISPY CREPE,(R)",,4.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,CRUSHED LOTUS .(R),,113.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,CRUSHED OREO .(R),,43.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"DARK CHOCOLATE CHIPS ,(P)",,4.0,238378.38
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"DARK CHOCOLATE SAUCE,(R)",,4.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"FRUIT LOOPS,(R)",,4.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"GUMMY BEARS ,(R)",,6.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"LOTUS SAUCE,(R)",,28.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"MARSHMALLOWS,(R)",,7.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,NO TOPPINGS,,100.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"NUTELLA SAUCE,(R)",,505.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"PEANUT BUTTER CUPS,(P)",,6.0,357567.56
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"PISTACHIO SAUCE ,(P)",,35.0,2085810.78
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"PISTACHIO TOPPING,",,103.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"RASPBERRIES ,(P)",,23.0,1370675.66
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"RASPBERRY JAM,(P)",,1.0,59594.59
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"SALTED CARAMEL SAUCE,(R)",,2.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,SPRINKLES .(R),,1.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"STRAWBERRY,(R)",,969.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"SWITCH TO ICE CREAM,",,9.0,2145405.38
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"WHIPPED CREAM ,",,53.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"WHIPPED CREAM,",,5.0,297972.97
30-Jan-26,Years:2025 Months:0,Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,WHITE CHOCOLATE SAUCE .(R),,73.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,"BLUEBERRIES, (P)",,72.0,2193081.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,"BROWNIES , (R)",,532.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,"CARAMEL SAUCE , (R)",,367.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,"CHERRY JAM, (P)",,5.0,152297.29
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,CRISPY CREPE . (R),,11.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,"CRUSHED LOTUS , (R)",,124.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,"CRUSHED OREO, (R)",,64.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,"DARK CHOCOLATE CHIPS, (P)",,17.0,517810.79
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,"DARK CHOCOLATE SAUCE , (R)",,11.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,FRUIT LOOPS . (R),,6.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,"GRANOLA BERRIES, (P)",,14.0,426432.42
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,GUMMY BEARS . (R),,31.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,"LOTUS SAUCE , (R)",,27.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,"MARSHMALLOWS , (R)",,26.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,NO TOPPINGS.,,98.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,NUTELLA SAUCE . (R),,693.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,"PEANUT BUTTER CUP , (P)",,7.0,213216.21
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,PISTACHIO SAUCE . (P),,42.0,1279297.25
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,PISTACHIO TOPPING,,88.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,"RASPBERRIES, (P)",,41.0,1248837.79
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,"RASPBERRY JAM , (P)",,3.0,91378.38
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,SALTED CARAMEL SAUCE . (R),,8.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,"SALTED PRETZELS , (R)",,2.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,"SPRINKLES , (R)",,20.0,0.0
