report_date,context,section,item,delivery,table,take_away,total
30-Jan-26,Year: 2025 - All Months,Conut,Bev Add-ons,0.0,1197189.17,0.0,1197189.17
30-Jan-26,Year: 2025 - All Months,Conut,CHIMNEY TOPPINGS,0.0,73241755.78,3933243.19,77174998.97
30-Jan-26,Year: 2025 - All Months,Conut,CONUT''S FAVORITE,0.0,4978135.13,0.0,4978135.13
30-Jan-26,Year: 2025 - All Months,Conut,Conuts,0.0,0.0,0.0,0.0
30-Jan-26,Year: 2025 - All Months,Conut,DRINK TYPE,0.0,0.0,0.0,0.0
30-Jan-26,Year: 2025 - All Months,Conut,Delivery Service,1668648.63,49821080.42,0.0,51489729.04
30-Jan-26,Year: 2025 - All Months,Conut,EXTRA CHIMNEY,0.0,11799729.57,1072702.69,12872432.26
30-Jan-26,Year: 2025 - All Months,Conut,EXTRA CONUT,0.0,3000918.86,90054.05,3090972.91
30-Jan-26,Year: 2025 - All Months,Conut,EXTRA DIP,0.0,1668648.63,238378.38,1907027.0
30-Jan-26,Year: 2025 - All Months,Conut,EXTRA MINI SPREAD,0.0,59594.59,0.0,59594.59
30-Jan-26,Year: 2025 - All Months,Conut,Extras and Sides,0.0,148748106.12,5721081.0,154469187.13
30-Jan-26,Year: 2025 - All Months,Conut,FREE CHIMNEY TOP,0.0,7926080.98,655540.53,8581621.51
30-Jan-26,Year: 2025 - All Months,Conut,FREE CONUT TOP,0.0,12710864.56,304594.58,13015459.14
30-Jan-26,Year: 2025 - All Months,Conut,FREE MINI TOP,0.0,3743864.8,30459.46,3774324.25
30-Jan-26,Year: 2025 - All Months,Conut,Frappes,0.0,18594837.59,1609054.03,20203891.62
30-Jan-26,Year: 2025 - All Months,Conut,Free Chimney Cake Spreads,0.0,953513.5,178783.78,1132297.28
30-Jan-26,Year: 2025 - All Months,Conut,Free Conut Spreads,0.0,182756.75,30459.46,213216.21
30-Jan-26,Year: 2025 - All Months,Conut,Holder,0.0,0.0,0.0,0.0
30-Jan-26,Year: 2025 - All Months,Conut,Hot and Cold Drinks,0.0,96098265.21,5323783.56,101422048.77
30-Jan-26,Year: 2025 - All Months,Conut,Hot-Coffee Based,0.0,36148756.43,655540.53,36804296.96
30-Jan-26,Year: 2025 - All Months,Conut,ITEMS,13440567.59,3647019679.34,177297892.07,3837758139.0
30-Jan-26,Year: 2025 - All Months,Conut,MARSHMALLOW OPTIONS,0.0,238378.38,0.0,238378.38
30-Jan-26,Year: 2025 - All Months,Conut,MILK OPTIONS,0.0,0.0,0.0,0.0
30-Jan-26,Year: 2025 - All Months,Conut,MINI/CONUT/BOWL,0.0,13023405.17,360216.21,13383621.38
30-Jan-26,Year: 2025 - All Months,Conut,Shakes,0.0,45768648.79,1430270.28,47198919.07
30-Jan-26,Year: 2025 - All Months,Conut,TOTAL,15109216.22,4177281777.32,199081702.45,2987396391.83
30-Jan-26,Year: 2025 - All Months,Conut,coffee type,0.0,0.0,0.0,0.0
30-Jan-26,Year: 2025 - All Months,Conut,free dip,0.0,357567.56,119189.19,324324.32
30-Jan-26,Year: 2025 - All Months,Conut,free mini spread,0.0,0.0,30459.46,20720.72
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,Bev Add-ons,0.0,0.0,450270.26,306306.3
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,CHIMNEY TOPPINGS,8283648.54,0.0,89868647.45,66770269.38
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,CONUT''S FAVORITE,0.0,0.0,4231216.2,2878378.37
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,Conuts,0.0,0.0,0.0,0.0
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,DRINK TYPE,0.0,0.0,0.0,0.0
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,Delivery Service,19785405.14,0.0,0.0,13459459.28
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,EXTRA CHIMNEY,536351.34,0.0,5125135.07,3851351.3
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,EXTRA CONUT,0.0,0.0,2010324.28,1367567.54
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,EXTRA DIP,357567.56,0.0,3218108.07,2432432.4
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,EXTRA MINI SPREAD,0.0,0.0,357567.56,243243.24
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,Extras and Sides,1907027.0,0.0,85339458.32,59351350.56
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,FREE CHIMNEY TOP,417162.16,0.0,7926080.98,5675675.6
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,FREE CONUT TOP,121837.83,0.0,14796675.31,10148648.4
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,FREE MINI TOP,0.0,0.0,2800945.88,1905405.36
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,Frappes,1072702.69,0.0,53997999.32,37463062.59
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,Free Chimney Cake Spreads,59594.59,0.0,595945.94,445945.94
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,Free Conut Spreads,0.0,0.0,121837.83,82882.88
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,Hot and Cold Drinks,0.0,0.0,62018105.21,42189187.22
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,Hot-Coffee Based,0.0,0.0,72108134.45,49053152.69
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,ITEMS,175251811.06,0.0,4832136331.16,3406386491.31
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,MARSHMALLOW OPTIONS,0.0,0.0,238378.38,162162.16
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,MILK OPTIONS,0.0,0.0,0.0,0.0
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,MINI/CONUT/BOWL,360216.21,0.0,5064216.12,3690090.02
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,Shakes,4648378.4,0.0,49523108.23,36851351.45
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,TOTAL,212801702.54,0.0,5293003837.36,3745445945.51
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,coffee type,0.0,0.0,0.0,0.0
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,free dip,0.0,0.0,953513.5,648648.64
30-Jan-26,Year: 2025 - All Months,Conut - Tyre,free mini spread,0.0,0.0,121837.83,82882.88
30-Jan-26,Year: 2025 - All Months,Conut Jnah,Bev Add-ons,0.0,5673405.29,0.0,3859459.38
30-Jan-26,Year: 2025 - All Months,Conut Jnah,CHIMNEY TOPPINGS,0.0,61144053.24,0.0,41594594.04
30-Jan-26,Year: 2025 - All Months,Conut Jnah,CONUT''S FAVORITE,0.0,34217891.79,0.0,23277477.41
30-Jan-26,Year: 2025 - All Months,Conut Jnah,Conuts,0.0,0.0,0.0,0.0
30-Jan-26,Year: 2025 - All Months,Conut Jnah,DRINK TYPE,0.0,0.0,0.0,0.0
30-Jan-26,Year: 2025 - All Months,Conut Jnah,Delivery Service,0.0,64362161.3,0.0,43783783.2
30-Jan-26,Year: 2025 - All Months,Conut Jnah,EXTRA CHIMNEY,0.0,7091756.66,0.0,4824324.26
30-Jan-26,Year: 2025 - All Months,Conut Jnah,EXTRA CONUT,0.0,2100378.34,0.0,1428828.8
30-Jan-26,Year: 2025 - All Months,Conut Jnah,EXTRA DIP,0.0,3098918.88,0.0,2108108.08
30-Jan-26,Year: 2025 - All Months,Conut Jnah,EXTRA MINI SPREAD,0.0,268837.83,0.0,182882.88
30-Jan-26,Year: 2025 - All Months,Conut Jnah,Extras and Sides,0.0,131584863.11,0.0,89513512.32
30-Jan-26,Year: 2025 - All Months,Conut Jnah,FREE CHIMNEY TOP,0.0,13825945.76,0.0,9405405.28
30-Jan-26,Year: 2025 - All Months,Conut Jnah,FREE CONUT TOP,0.0,13395540.23,0.0,9112612.4
30-Jan-26,Year: 2025 - All Months,Conut Jnah,FREE MINI TOP,0.0,3721351.28,0.0,2531531.48
30-Jan-26,Year: 2025 - All Months,Conut Jnah,Frappes,0.0,112376863.5,0.0,76446845.92
30-Jan-26,Year: 2025 - All Months,Conut Jnah,Free Chimney Cake Spreads,0.0,1251486.47,0.0,851351.34
30-Jan-26,Year: 2025 - All Months,Conut Jnah,Free Conut Spreads,0.0,60918.92,0.0,41441.44
30-Jan-26,Year: 2025 - All Months,Conut Jnah,Holder,0.0,0.0,0.0,0.0
30-Jan-26,Year: 2025 - All Months,Conut Jnah,Hot and Cold Drinks,0.0,244851662.58,0.0,166565756.86
30-Jan-26,Year: 2025 - All Months,Conut Jnah,Hot-Coffee Based,0.0,337104104.81,0.0,229322520.28
30-Jan-26,Year: 2025 - All Months,Conut Jnah,ITEMS,0.0,4501829977.88,0.0,3062469372.71
30-Jan-26,Year: 2025 - All Months,Conut Jnah,MARSHMALLOW OPTIONS,0.0,1787837.81,0.0,1216216.2
