basket_id,Branch,Customer Name,Item Description,Qty,Price,Line Total,Is Cancellation,Is_Modifier
Conut - Tyre__Person_0129,Conut - Tyre,Person_0129,FULL FAT MILK,-1.0,0.0,-0.0,1,1
Conut - Tyre__Person_0129,Conut - Tyre,Person_0129,FULL FAT MILK,1.0,0.0,0.0,0,1
Conut - Tyre__Person_0129,Conut - Tyre,Person_0129,PISTACHIO MILKSHAKE,1.0,893918.92,893918.92,0,0
Conut - Tyre__Person_0129,Conut - Tyre,Person_0129,PISTACHIO MILKSHAKE,-1.0,-893918.92,893918.92,1,0
Conut - Tyre__Person_0129,Conut - Tyre,Person_0129,WHIPPED CREAM...,-1.0,0.0,-0.0,1,1
Conut - Tyre__Person_0129,Conut - Tyre,Person_0129,WHIPPED CREAM...,1.0,0.0,0.0,0,1
Conut - Tyre__Person_0130,Conut - Tyre,Person_0130,"CARAMEL SAUCE, (R)",1.0,0.0,0.0,0,1
Conut - Tyre__Person_0130,Conut - Tyre,Person_0130,CHIMNEY THE ONE,1.0,1251486.48,1251486.48,0,0
Conut - Tyre__Person_0130,Conut - Tyre,Person_0130,CLASSIC CHIMNEY,1.0,595945.95,595945.95,0,0
Conut - Tyre__Person_0130,Conut - Tyre,Person_0130,DELIVERY CHARGE,1.0,238378.38,238378.38,0,0
Conut - Tyre__Person_0130,Conut - Tyre,Person_0130,LOTUS SAUCE.,1.0,178783.78,178783.78,0,0
Conut - Tyre__Person_0130,Conut - Tyre,Person_0130,NUTELLA SPREAD CHIMNEY.,1.0,0.0,0.0,0,1
Conut - Tyre__Person_0130,Conut - Tyre,Person_0130,PRESSED,1.0,0.0,0.0,0,1
Conut - Tyre__Person_0130,Conut - Tyre,Person_0130,"STRAWBERRY,(R)",1.0,0.0,0.0,0,1
Conut - Tyre__Person_0130,Conut - Tyre,Person_0130,STRAWBERRY.,1.0,178783.78,178783.78,0,0
Conut - Tyre__Person_0130,Conut - Tyre,Person_0130,WHITE CHOCOLATE SPREAD CHIMNEY.,1.0,0.0,0.0,0,1
Conut - Tyre__Person_0131,Conut - Tyre,Person_0131,[CHOCOLATE DRESSING],1.0,0.0,0.0,0,1
Conut - Tyre__Person_0131,Conut - Tyre,Person_0131,[CHOCOLATE DRESSING],1.0,0.0,0.0,0,1
Conut - Tyre__Person_0131,Conut - Tyre,Person_0131,CLASSIC CHIMNEY,1.0,595945.95,595945.95,0,0
Conut - Tyre__Person_0131,Conut - Tyre,Person_0131,CONUT THE ONE,1.0,893918.92,893918.92,0,0
Conut - Tyre__Person_0131,Conut - Tyre,Person_0131,DELIVERY CHARGE,1.0,238378.38,238378.38,0,0
Conut - Tyre__Person_0131,Conut - Tyre,Person_0131,FULL FAT MILK,1.0,0.0,0.0,0,1
Conut - Tyre__Person_0131,Conut - Tyre,Person_0131,FULL FAT MILK,1.0,0.0,0.0,0,1
Conut - Tyre__Person_0131,Conut - Tyre,Person_0131,MOCHA FRAPPE,1.0,536351.34,536351.34,0,0
Conut - Tyre__Person_0131,Conut - Tyre,Person_0131,MOCHA FRAPPE,1.0,536351.34,536351.34,0,0
Conut - Tyre__Person_0131,Conut - Tyre,Person_0131,NO TOPPINGS.,1.0,0.0,0.0,0,1
Conut - Tyre__Person_0131,Conut - Tyre,Person_0131,NUTELLA SPREAD CHIMNEY.,1.0,0.0,0.0,0,1
Conut - Tyre__Person_0131,Conut - Tyre,Person_0131,NUTELLA SPREAD CONUT.,1.0,0.0,0.0,0,1
Conut - Tyre__Person_0131,Conut - Tyre,Person_0131,PRESSED,1.0,0.0,0.0,0,1
Conut - Tyre__Person_0131,Conut - Tyre,Person_0131,REGULAR.,1.0,0.0,0.0,0,1
Conut - Tyre__Person_0131,Conut - Tyre,Person_0131,REGULAR.,1.0,0.0,0.0,0,1
Conut - Tyre__Person_0131,Conut - Tyre,Person_0131,"STRAWBERRY , (R)",1.0,0.0,0.0,0,1
