Conut - Tyre,,,,,,,,,,
Summary By Division,,,,,,,,,,
30-Jan-26,,,,,Year: 2025 - All Months,,,Page 1 of,,5
,,,DELIVERY,TABLE,,TAKE AWAY,TOTAL,,,
Conut,Bev Add-ons,,0,1197189.17,,0,1197189.17,,,
,CHIMNEY TOPPINGS,,0,73241755.78,,3933243.19,77174998.97,,,
,CONUT''S FAVORITE,,0,4978135.13,,0,4978135.13,,,
,Conuts,,0,0,,0,0,,,
,DRINK TYPE,,0,0,,0,0,,,
,Delivery Service,,1668648.63,49821080.42,,0,51489729.04,,,
,EXTRA CHIMNEY ,,0,11799729.57,,1072702.69,12872432.26,,,
,EXTRA CONUT ,,0,3000918.86,,90054.05,3090972.91,,,
,EXTRA DIP,,0,1668648.63,,238378.38,1907027,,,
,EXTRA MINI SPREAD,,0,59594.59,,0,59594.59,,,
,Extras and Sides,,0,148748106.1,,5721081,154469187.1,,,
,FREE CHIMNEY TOP,,0,7926080.98,,655540.53,8581621.51,,,
,FREE CONUT TOP,,0,12710864.56,,304594.58,13015459.14,,,
,FREE MINI TOP,,0,3743864.8,,30459.46,3774324.25,,,
,Frappes,,0,18594837.59,,1609054.03,20203891.62,,,
,Free Chimney Cake Spreads,,0,953513.5,,178783.78,1132297.28,,,
,Free Conut Spreads,,0,182756.75,,30459.46,213216.21,,,
,Holder,,0,0,,0,0,,,
,Hot and Cold Drinks,,0,96098265.21,,5323783.56,101422048.8,,,
,Hot-Coffee Based,,0,36148756.43,,655540.53,36804296.96,,,
,ITEMS,,13440567.59,3647019679,,177297892.1,3837758139,,,
,MARSHMALLOW OPTIONS,,0,238378.38,,0,238378.38,,,
,MILK OPTIONS,,0,0,,0,0,,,
,MINI/CONUT/BOWL ,,0,13023405.17,,360216.21,13383621.38,,,
,Shakes,,0,45768648.79,,1430270.28,47198919.07,,,
,coffee type,,0,0,,0,0,,,
REP_S_00136,,"Copyright © 2026 Omega Software, Inc. All Rights Reserved.",,,,,,,www.omegapos.com,
,,DELIVERY,TABLE,TAKE AWAY,TOTAL,,,,,
Conut,free dip,0,357567.56,119189.19,324324.32,,,,,
,free mini spread,0,0,30459.46,20720.72,,,,,
,TOTAL,15109216.22,4177281777,199081702.5,2987396392,,,,,
Conut - Tyre,Bev Add-ons,0,0,450270.26,306306.3,,,,,
,CHIMNEY TOPPINGS,8283648.54,0,89868647.45,66770269.38,,,,,
,CONUT''S FAVORITE,0,0,4231216.2,2878378.37,,,,,
,Conuts,0,0,0,0,,,,,
,DRINK TYPE,0,0,0,0,,,,,
,Delivery Service,19785405.14,0,0,13459459.28,,,,,
,EXTRA CHIMNEY ,536351.34,0,5125135.07,3851351.3,,,,,
,EXTRA CONUT ,0,0,2010324.28,1367567.54,,,,,
,EXTRA DIP,357567.56,0,3218108.07,2432432.4,,,,,
,EXTRA MINI SPREAD,0,0,357567.56,243243.24,,,,,
,Extras and Sides,1907027,0,85339458.32,59351350.56,,,,,
,FREE CHIMNEY TOP,417162.16,0,7926080.98,5675675.6,,,,,
,FREE CONUT TOP,121837.83,0,14796675.31,10148648.4,,,,,
,FREE MINI TOP,0,0,2800945.88,1905405.36,,,,,
,Frappes,1072702.69,0,53997999.32,37463062.59,,,,,
,Free Chimney Cake Spreads,59594.59,0,595945.94,445945.94,,,,,
,Free Conut Spreads,0,0,121837.83,82882.88,,,,,
